ꢂꢖ꣄ꢔꢪ꣄,अङगम्,அங்க3ம்,organ,அங்கம்  
ꢨꢵꢣꢪ꣄,पादम्,பாத3ம்,sole,அடி  
ꢲꢶꢬꢶꢞꢶ,हिरिडि,ஹிரிடி3,palate,அண்ணம்  
ꢦꣁꢒ꣄ꢒꢭ꣄,पा॑क्कल्,பொக்கல்,hip,அரை  
"ꢣꣀꢬ ꢲꢵꢡ꣄, ꢣꢒꢸꢥ ꢲꢵꢡꢶ","दैरहात, दकुनहात","தை3ரஹாத், த3குனஹாத்",left hand,இடக்கை  
ꢒꢿꢜ꣄,केट्,கேட்,waist,இடுப்பு  
ꢔꢸꢠ꣄ꢞꣁ,गुण्ड॑,கு3ண்டெ3,heart,இதயம்  
ꢬꣁꢦ꣄ꢦꣁ,रा॑प्पा॑,ரொப்பொ,eyelash,இமை  
ꢬꢾꢔꢡ꣄,र॑गत्,ரெக3த்,blood,இரத்தம்  
"ꢲ꣄ꢬꢸꢣꢫꢸ, ꢔꢸꢠ꣄ꢞꢾ","ह्रुदयु, गुण्ड॑",ஹ்ருத3யு/கு3ண்டெ3/,heart,இருதயம்  
ꢡꢶꢳ꣄꣄ꢙꢶ,तिळ्जि,தி2ள்ஜி,liver,ஈரல்  
ꢲ꣄ꢬꢸꢞꢶ,ह्रुडि,ஹ்ருடி3,gum,ஈறு  
ꢡꢳꢸ,तळु,தளு,crown,உச்சி  
"ꢃꢖ꣄ꢒꢸ, ꢱꢾꢬꢶꢬ꣄, ꢡꢥꢸ","आङकु, सेरिर, तनु",ஆங்கு3/ ஶெரிர்/தனு,body,உடம்பு  
ꢃꢖ꣄ꢔꢸ,आङगु,ஆங்கு3,body,உடம்பு  
ꢲꣂꢜ꣄,होट,ஹோட்,lip,உதடு  
"ꢲꢸꢜ꣄ꢜꣁ,  ꢙꢷꢬ꣄ꢠꢸ ꢣ꣄ꢬꢮ꣄ꢫꢸ","हुट्टा॑, जीर्णु द्रव्यु",ஹுட்டொ/      ஜீர்ணு த்3ரவ்யு,saliva,உமிழ்நீர்  
"ꢦꢵꢣꢪ꣄, ꢡꢳꢦꢵꢄ~","पादम्, तळपाइ~",பாத3ம்/தளபாஇ~,sole of the foot,உள்ளங்கால்  
ꢡꢳꢲꢵꢡ꣄,तळहात्,தளஹாத்,palm,உள்ளங்கை  
ꢂꢖ꣄ꢔꢪ꣄,अङगम्,அங்க3ம்,organ,உறுப்பு  
ꢲꢹꢜ꣄ꢜꣁ,हुट्टा॑,ஹுட்டொ,spit,எச்சில்  
ꢲꢜ꣄ꢒꣁ,हट्का॑,ஹட்கொ,bone,எலும்பு  
ꢲꢜ꣄ꢒꢵ ꢔꢹꢞ꣄,हट्कागूड्,ஹட்காகூ3ட்3/,skeleton,எலும்புக்கூடு  
ꢣꣁꢳꣁ,दा॑ळा॑,தொ3ளொ/அக்ஷி,eye,கண்  
ꢣꣁꢳꢵꢪ꣄ ꢦꢥꢶ,दा॑ळाम्पनि,தொ3ளாம்பனி,tears,கண்ணீர்  
ꢦꢦꣁ,पपा॑,பபொ,pupil of the eye,கண்மணி  
"ꢔꢸꢞ꣄ꢔꢵꢭ꣄, ꢦꢭ꣄ꢜꢶ","गुड्गाल्, पल्टि",கு3ட்3கா3ல்,ankle,கணுக்கால்  
ꢔꢾꢳꣁ,ग॑ळा॑,கெ3ளொ,neck,கழுத்து  
