ꢦꢶꢥ꣄ꢣꢵ,पिन्दा,பிந்தா3  (adj),"young, tender",இளம் 
ꢥꢴꢥ꣄ꢥ,न्हन्न,ந:ன்ன(adj),young,இளைய  
ꢒꢸꢳ꣄ꢳꢾ,कुळ्ळ॑,கு3ள்ளெ(adj),sweet,இனிய  
ꢗꢾꢬ꣄ꢒ꣄ꢒꢲꣁꢫꢾ,च॑र्क्कहा॑य॑,ஸெர்கஹொயெ(adj),appropriate,ஏற்ற  
ꢓꢭꢶ,खलि,க2லி(adj),empty,காலி  
ꢂꢒ꣄ꢒꢸꢬꢵ,अक्कुरा,அக்குரா (adj),short,குறுகிய  
ꢥꢷꢗ,नीच,நீச (adj),bad,கெட்ட  
ꢬꢸꢮ꣄ꢮ,रुव्व,ருவ்வ(adj),"a little, a few",கொஞ்சம்  / சில
ꢢꢾꢮ꣄ꢞ,थ॑व्ड,தெ2வ்ட3 (adj),"a little, a few",கொஞ்சம்  / சில
ꢬꢸꢮ꣄ꢮ,रुव्व,ருவ்வ(adj),a little,சிறிது  
ꢩꢾꢭꢶꢗꣁꢒ꣄ꢒꢜ꣄,भ॑लिचा॑क्कट,பெ4ளிசொக்கட்(adj),very good,சீரிய  
ꢗꣁꢒ꣄ꢒꢜ꣄,चा॑क्कट्,சொக்கட்(adj),good,நல்ல  
ꢙꢸꢒ꣄ꢒꢸ,जुक्कु,ஜு2க்கு,many,நிறைய  
ꢩꢾꢭꢶ ꢥꢴꢥ꣄ꢥ,भ॑लिन्हन्न,பெ4ளிந:ன்ன,minute,நுண்ணிய  
ꢭꢪ꣄ꢨ,लम्ब,லம்ப3,"long, tall",நெடிய  
ꢆꢛ꣄ꢗ,उञ्च,உஞ்ச,"long, tall",நெடிய  
ꢚꢸꢒ꣄ꢒꢸꢒꢵꢭ,झुक्कुकाल,ஜீ2க்குகால,"tall things, long (time)",நெடும்  
ꢚꢸꢒ꣄ꢒꢸ,झुक्कु,ஜு2க்கு,many,பல  
ꢙꢸꢥ꣄ꢥ,जुन्न,ஜுன்ன,"old, ancient",பழைய  
ꢥꣁꢮꣁ,ना॑वा॑,நொவொ,new,புதிய  / புது
ꢪꢴꣁꢜ꣄ꢜꣁ,म्हा॑ट्ट,மொ:ட்ட,big,பெரிய  
ꢧꢸꢬ,फुर,பு2ர,enough,போதிய  
ꢧꢸꢬꢲꣁꢫꢾ,फुरहा॑य॑,பு2ரஹொயெ,enough,போதிய  
ꢩꢾꢭꢶ,भ॑लि,பெ4ளி,very,மிக்க/மிக
ꢮꢿꢥ꣄,वेन,வேன்,very,மிக்க/மிக
ꢨꣁꢭꢶꢪꢸ,बा॑लिमु,பொ3லிமு,strong,வலிய  
ꢂꢥꢾꢒ,अनेक,அனேக,"very, a lot of",வெகு  
ꢥꢶꢱ꣄ꢡ,निस्त,நிஸ்த,only,வெறும்  
ꢮꢾꢒ꣄ꢳ꣄,व॑क्ळ,வெக்ள,different,வேறு  
ꢭ,ल,ல,different,வேறு  
