ꢨꢾꢫ꣄,ब॑य्,பெ3ய்,elder sister,அக்கா  
ꢣꢣꣁ,ददा॑,த3தொ3,elder brother,அண்ணன்  
ꢩꢮꢶ,भवि,ப4வி,elder brother’s wife,அண்ணி  
ꢩꢮꣁ,भवा॑,ப4வொ,brother in law,அத்தான்  
ꢧꢸꢄ~,फुइ~,பு2இ~,aunty,அத்தை  
ꢂꢪ꣄ꢪꣁ,अम्मा॑,அம்மொ,father’s mother,அப்பத்தா  
ꢨꣂ,बो,போ3,father,அப்பா  / தந்தை தகப்பன்
ꢨꢵꢦ꣄,बाप्,பா3ப்,father,அப்பா  / தந்தை தகப்பன்
ꢂꢪ꣄ꢨꣁ,अम्बा॑,அம்பொ3,mother,அம்மா /அன்னை
ꢂꢙ꣄ꢙꢶ,अज्जि,அஜ்ஜி,mother`s mother,அம்மாச்சி / ஆச்சி
ꢂꢙ꣄ꢙꢶ ꢂꢪ꣄ꢨꣁ,अज्जि अम्बा॑,அஜ்ஜிஅம்பொ3,grand mother`s mother,ஆத்தா  
ꢒꢵꢪ꣄ ꢒꢾꢬ꣄ꢡ꣄ꢡꢶꢥ꣄,काम क॑र्त्तिन्,காம் கெர்த்தின்,Care taker,ஆயா
ꢱꢾꢥ꣄ꢡꣁꢙꢶꢥ꣄,स॑न्ता॑जिन,ஸெந்தொஜின்,brothers and sisters,உடன் பிறப்புகள்
ꢨꣀꢨꢾꢫ꣄ꢥꢾꢥ꣄,भै भेय्न॑न,பை4 பெ4ய்னென்,brothers and sisters,உடன் பிறப்புகள்
ꢨꢥ꣄ꢤꢸꢙꢾꢥꢵꢥ꣄,बन्धुज॑नान,ப3ந்து4ஜெனான்,relatives,"உறவினர், சொந்தங்கள்  "
ꢐꢱ꣄ꢡꢸꢥ꣄,आ॑स्तुन,ஒஸ்துன்,relatives,"உறவினர், சொந்தங்கள்  "
ꢨꢥ꣄ꢣꢸꢦꢥ꣄,बन्धुपन,ப3ந்து4பன்,relationship,"உறவு, சொந்தம்"
ꢏꢱ꣄ꢡꢸ,आ॑स्तु,ஒஸ்து,relationship,"உறவு, சொந்தம்"
ꢣꢾꢮ꣄ꢬꢥꢶ ꢚꢾꢞꢥꢶꢥ꣄,देव्रन्,தெ3வ்ரன்ஜெ2டனின்,Co-sisters ,ஓரகத்தி  
ꢣꢾꢮ꣄ꢬꢥꢶ ꢚꢾꢞꢥꢶꢥ꣄,झ॑टनिन्,தெ3வ்ரன்ஜெ2டனின்,Co-sisters ,ஓரகத்தி  
ꢣꢭ꣄ꢭꣁ,दल्ला॑,த3ல்லொ,husband,"கணவன், புருஷன் "
ꢦꢡꢶ,पति,பதி,husband,"கணவன், புருஷன் "
ꢩꢬ꣄ꢡꣁ,भर्ता॑,ப4ர்தொ,husband,"கணவன், புருஷன் "
ꢂꢪ꣄ꢨꢸꢭꣁ,अम्बुला॑,அம்பு3லொ,husband,"கணவன், புருஷன் "
ꢦꢶꢭ꣄ꢭꣁ,पिल्ला॑,பில்லொ,child,குழந்தை  
ꢨꢵꢳꢸ,बाळु,பா3ளு,child,குழந்தை  
ꢥꢴꢸꢬꢸ,न्हुरु,நு:ரு,child,குழந்தை  
ꢨꢵ ꢂꢙ꣄ꢙꣁ,बा अज्जा॑,பா3 அஜ்ஜொ,great grand father,கொள்ளுத்தாத்தா  
ꢨꢵ ꢂꢙ꣄ꢙꢶ,बा अज्जि,பா3 அஜ்ஜி,great grand mother,கொள்ளுப்பாட்டி  
ꢦꣁꢥ꣄ ꢥꢡꢶꢥꢶ,पा॑न् नतिनि,பொன் நதினி,grandson`s daughter,கொள்ளுப்பேத்தி  
ꢦꣁꢥ꣄ꢥꢡ꣄ꢡꢾ,पा॑न्नत्त॑,பொன்நத்தெ,grandson`s son,கொள்ளுப்பேரன்  
ꢣꢾꢮꢬ꣄,द॑वर्,தெ3வர்,husband,கொழுந்தன்  
ꢥꢾꢥꢥ꣄ꢡꢸ,न॑नन्तु,நெனந்து3,wife`s younger sister,கொழுந்தி  
ꢥꢿꢥ꣄ꢣꢸ,नेन्दु,நேந்து3,wife`s younger sister,கொழுந்தி  
ꢱꣁꢮꢡ꣄,सा॑वत्,ஸொவத்,co-wife,சக்களத்தி  
ꢱꢾꢬ꣄ꢔꢸꢜ꣄,सा॑र्गुट,ஸொர்கு3ட்,co-brother,சகலப்பாடி  
ꢱꢞ꣄ꢔꢸꢜ꣄,सड्गुट,ஸட்3கு3ட்,co-brother,சகலப்பாடி  
ꢱꢾꢖ꣄ꢒꣁ ꢆꢙꢾꢱ꣄ꢡꢾꢥꣁ,स॑ङ्का॑ उज॑स्त॑ना॑,ஸெங்கொ உஜெஸ்தெனொ,brother,சகோதரன்  
ꢩꣀ,भै,பை4,brother,சகோதரன்  
ꢱꢾꢖ꣄ꢒꣁ ꢆꢙꢾꢱ꣄ꢡꢶꢥꣁ,स॑ङ्का॑ उज॑स्तिना॑,ஸெங்கொ உஜிஸ்தினொ,sister,சகோதரி  
ꢩꢾꢫ꣄ꢥ꣄,भ॑य्न्,பெ4ய்ன்,sister,சகோதரி  
ꢮꢾꢱꢶꢥ꣄ꢡꢶ,व॑सिन्ति,வெஸிந்தி3,relatives by marriage,சம்பந்திகள்
ꢮꢾꢱꢶꢥ꣄ꢡꢶꢥ꣄,व॑सिन्तिन्,வெஸிந்தி3ன்,relatives by marriage,சம்பந்திகள்
ꢥꢴꢥ꣄ꢥꢨꣂ,न्हन्नबा॑,ந:ன்னபோ3,father’s younger brother,சித்தப்பா  
ꢒꢒꣁ,कका॑,ககொ,father’s younger brother,சித்தப்பா  
ꢪꣃꢱꢶ,मौसि,மௌஸி,"mother`s younger sister, stepmother",சித்தி  
ꢥꢴꢥ꣄ꢥꢪ꣄ꢨꣂ,न्हन्नम्बो,ந:ன்னம்போ3,"mother`s younger sister, stepmother",சின்னம்மா  
ꢩꢾꢫ꣄ꢥ꣄,भ॑य्न्,பெ4ய்ன்,younger sister,தங்கை  
ꢨꣀꢫ꣄,बैय्,பை3ய்,elder brother,தமயன்
ꢨꢾꢫ꣄,बेय,பெ3ய்,elder sister,தமக்கை  
ꢨꢾꢜꣁ,ब॑टा॑,பெ3டொ,son,தனயன்  
ꢂꢫ꣄ꢫꣂ,अय्या॑,அய்யொ,grandfather,தாத்தா/ பாட்டன்
ꢂꢪ꣄ꢪꣁ,अम्मा॑,அம்மொ,mother,தாய்  
ꢂꢙ꣄ꢙꣁ,अज्जा॑,அஜ்ஜொ,great grand father,கொள்ளுத்தாத்தா  
ꢂꢙ꣄ꢙꢶ,अज्जि,அஜ்ஜி,mother`s mother,அம்மாச்சி / ஆச்சி
ꢡꢭ꣄ꢭꣂ,तल्ला॑,த3ல்லொ,husband,கணவன்  
ꢂꢖ꣄ꢒꢿꢬ꣄ ꢨꣁ,अङक॑र् बो,அங்கெர் போ,grandfather,தாத்தா/ பாட்டன்
ꢂꢖ꣄ꢒꢿꢬꢪ꣄ꢨꣁ꣄,अङक॑रम्बो,அங்கெரம்போ,mother`s mother,அம்மாச்சி / ஆச்சி
ꢨꢾꢫ꣄ꢭ꣄,ब॑य्ल,பெ3ய்ல்,wife,பெண்டாட்டி  
ꢨꣀꢭ꣄,बैल,பை3ல்,wife,பெண்டாட்டி  
ꢩꢵꢬꢶ,भारि,பா4ரி,wife,பெண்டாட்டி  
ꢩꢵꢬꢶꢫꣁ,भारिया॑,பா4ரியொ,wife,பெண்டாட்டி  
ꢱꢡꢶ,सति,ஸதி,wife,பெண்டாட்டி  
ꢪꢴꣁꢜ꣄ꢜ ꢨꣂ,म्हा॑ट्टबो,மொ:ட்டபோ3,father`s elder brother,பெரியப்பா  
ꢪꣁꢜ꣄ꢜꢪ꣄ ꢨꣂ,म्हा॑ट्टम्बो,மொ:ட்டம்போ3,mother,பெரியம்மா  
