ꢂꢯꢬꢷꢬꢶ,अशरीरि,அஶரீரி,celestial voice/ oracle,அசரீரி  
ꢣꢵꢱꢸꢥ꣄,दासुन,தா3ஸுன்,disciples,அடியார்  
ꢂꢩꢶꢰꢿꢒ꣄ ,अभिषेक्,அபி4ஷேக்,"bathing the holy idol with milk, honey, fruit, etc.",அபிஷேகம்  
ꢂꢬ꣄ꢗꢥꣁ,अर्चना॑,அர்சனொ,Worship with chanting,அர்ச்சனை 
ꢒꢺꢦꣁ,कृपा॑,க்ருபொ,grace,அருள்  
ꢂꢮ꣄ꢡꢵꢬ꣄,अव्तार्,அவ்தார்,incarnation,அவதாரம்  
ꢃꢱꢶꢰ꣄,आसिष्,ஆஸிஷ்,blessing,அனுக்கிரகம்/ஆசிர்வாதம்
ꢃꢱꢷꢬ꣄ꢮꢵꢡ꣄,आसीर्वात्,ஆஸீர்வாத்,blessing,அனுக்கிரகம்/ஆசிர்வாதம்
ꢃꢱ꣄ꢬꢪꣁ,आस्रमा॑,ஆஸ்ரமொ,"hermitage, monastery",ஆசிரமம்  
ꢣꢿꢮ꣄,देव्,தே3வ்,God,ஆண்டவன்  
ꢩꢔꢮꢵꢥ꣄,भगवान्,ப4க3வான்,God,ஆண்டவன்  
ꢃꢬꢵꢤꢥꣁ,आराधना॑,ஆராத4னொ,worship,ஆராதனை  
ꢣꢮ꣄ꢬꣁ,दब्रा॑,த4வ்ரொ,temple,ஆலயம்  
ꢪꢥ꣄ꢣꢶꢬ꣄,मन्दिर,மந்தி3ர்,temple,ஆலயம்  
ꢃꢡ꣄ꢪꣁ,आत्मा॑,ஆத்மொ,soul,ஆன்மா  
ꢩꢒ꣄ꢡꢶ ꢪꢵꢬ꣄ꢔꢸ,भक्ति मार्गु,ப4க்தி மார்கு3,sprituality,ஆன்மீகம்  
ꢃꢱ꣄ꢡꢶꢒ꣄,आस्तिक,ஆஸ்திக்,theism,ஆஸ்திகம்  
ꢡꢸꢞꢶꢫꢵꢥꢸ ꢪꢵꢬ꣄ꢔꢸ,तुडियानु मार्गु,துடி3யானு மார்கு3,Islam,இசுலாம்  
ꢲꢶꢥ꣄ꢣꢸ,हिन्दु,ஹிந்து3,Hindu,இந்து  
ꢣꢿꢮꢸ ꢩꢒ꣄ꢡꢶ,देवु भक्ति,தே3வுப4க்தி,devotion,இறையுணர்வு  
ꢣꢾꢮ꣄,देव्,தே3வ்,God,இறைவன்  
ꢅꢯꣁ,ईशा॑,ஈஶொ,God Shiva,ஈசுவரன்  
ꢅꢯ꣄ꢦꢸꢬꢸ,ईश्पुरु,ஈஶ்புரு,God Shiva,ஈசுவரன்  
ꢲꢸꢠ꣄ꢞꢶ,हुण्डि,ஹுண்டி3,hundi,உண்டி  / உண்டியல்  
ꢱꣂꢩꢵ ꢫꢵꢡ꣄ꢬꣁ,सोभा यात्रा॑,ஸோபா4 யாத்ரொ,procession of the deity,ஊர்வலம்  
ꢣꢾꢮ꣄,देव्,தே3வ்,God,கடவுள்  
ꢬꢒ꣄ꢰꢸꢥꢵꢬ꣄,रक्षुनार,ரக்ஷுனார்,saviour,கர்த்தர்  
ꢔꢬ꣄ꢩ ꢔ꣄ꢒꢺꢲꢪ꣄,गर्भ गृहम्,க3ர்ப4க்3ருஹம்,sanctum sanctorum,கர்ப்பக்கிரகம்  
ꢱꢪꢵꢤꢶ,समाधि,ஸமாதி4,graveyard,கல்லறை  
ꢒꢬ꣄ꢦꢸꢬ꣄,कर्पूर,கர்பூர்,camphor,கற்பூரம்  
ꢂꢡ꣄ꢡꢶꢪ꣄ꢨꢸꢬ꣄,अत्तिम्बुर,அத்திம்பு3ர்,camphor,கற்பூரம்  
